fips,year,Total Amount
1035,2008,0
1035,2009,0
1035,2010,0
1035,2011,0
1035,2012,0
1035,2013,0
1035,2014,0
1035,2015,0
1035,2016,0
1035,2017,1
1035,2018,0
1035,2019,0
1035,2020,0
1035,2021,0
1037,2000,0
1037,2001,0
1037,2002,0
1037,2003,3
1037,2004,0
1037,2005,1
1037,2006,0
1037,2007,0
1037,2008,1
1037,2009,0
1037,2010,0
1037,2011,0
1037,2012,1
1037,2013,1
1037,2014,0
1037,2015,0
1037,2016,0
1037,2017,9
1037,2018,1
1037,2019,0
1037,2020,0
1037,2021,0
1039,2000,0
1039,2001,0
1039,2002,1
1039,2003,6
1039,2004,0
1039,2005,0
1039,2006,0
1039,2007,1
1039,2008,0
1039,2009,0
1039,2010,0
1039,2011,0
1039,2012,9
1039,2013,0
1039,2014,0
1039,2015,3
1039,2016,1
1039,2017,0
1039,2018,0
1039,2019,0
1039,2020,0
1039,2021,0
1041,2000,0
1041,2001,0
1041,2002,8
1041,2003,2
1041,2004,0
1041,2005,5
1041,2006,0
1041,2007,12
1041,2008,0
1041,2009,0
1041,2010,0
1041,2011,0
1041,2012,8
1041,2013,0
1041,2014,0
1041,2015,0
1041,2016,0
1041,2017,8
1041,2018,1
1041,2019,0
1041,2020,0
1041,2021,1
1043,2000,0
1043,2001,0
1043,2002,0
1043,2003,1
1043,2004,0
1043,2005,0
1043,2006,0
1043,2007,1
1043,2008,0
1043,2009,0
1043,2010,0
1043,2011,0
1043,2012,1
1043,2013,0
1043,2014,0
1043,2015,0
1043,2016,0
1043,2017,1
1043,2018,0
1043,2019,0
1043,2020,1
1043,2021,0
1045,2000,0
1045,2001,0
1045,2002,2
1045,2003,2
1045,2004,0
1045,2005,0
1045,2006,0
1045,2007,1
1045,2008,0
1045,2009,0
1045,2010,0
1045,2011,0
1045,2012,8
1045,2013,0
1045,2014,0
1045,2015,0
1045,2016,0
1045,2017,1
1045,2018,0
1045,2019,0
1045,2020,0
1045,2021,0
1047,2000,0
1047,2001,0
1047,2002,1
1047,2003,1
1047,2004,0
1047,2005,0
1047,2006,0
1047,2007,0
1047,2008,0
1047,2009,0
1047,2010,0
1047,2011,0
1047,2012,2
1047,2013,0
1047,2014,0
1047,2015,0
1047,2016,1
1047,2017,6
1047,2018,0
1047,2019,0
1047,2020,1
1047,2021,1
1049,2000,0
1049,2001,0
1049,2002,1
1049,2003,1
1049,2004,0
1049,2005,0
1049,2006,1
1049,2007,1
1049,2008,0
1049,2009,0
1049,2010,0
1049,2011,0
1049,2012,0
1049,2013,0
1049,2014,0
1049,2015,0
1049,2016,0
1049,2017,1
1049,2018,0
1049,2019,0
1049,2020,0
1049,2021,0
1051,2000,0
1051,2001,0
1051,2002,8
1051,2003,2
1051,2004,0
1051,2005,5
1051,2006,0
1051,2007,11
1051,2008,0
1051,2009,0
1051,2010,0
1051,2011,0
1051,2012,7
1051,2013,0
1051,2014,0
1051,2015,0
1051,2016,1
1051,2017,13
1051,2018,1
1051,2019,0
1051,2020,1
1051,2021,2
1053,2000,0
1053,2001,0
1053,2002,8
1053,2003,21
1053,2004,0
1053,2005,0
1053,2006,3
1053,2007,0
1053,2008,2
1053,2009,0
1053,2010,0
1053,2011,0
1053,2012,24
1053,2013,1
1053,2014,2
1053,2015,5
1053,2016,5
1053,2017,5
1053,2018,2
1053,2019,1
1053,2020,0
1053,2021,2
1055,2000,0
1055,2001,0
1055,2002,0
1055,2003,1
1055,2004,0
1055,2005,0
1055,2006,0
1055,2007,1
1055,2008,0
1055,2009,0
1055,2010,0
1055,2011,0
1055,2012,0
1055,2013,0
1055,2014,0
1055,2015,0
1055,2016,0
1055,2017,2
1055,2018,0
1055,2019,0
1055,2020,0
1055,2021,0
1057,2000,0
1057,2001,0
1057,2002,7
1057,2003,0
1057,2004,2
1057,2005,0
1057,2006,0
1057,2007,0
1057,2008,3
1057,2009,0
1057,2010,0
1057,2011,1
1057,2012,1
1057,2013,1
1057,2014,0
1057,2015,0
1057,2016,1
1057,2017,2
1057,2018,2
1057,2019,1
1057,2020,1
1057,2021,0
1059,2000,0
1059,2001,0
1059,2002,1
1059,2003,0
1059,2004,0
1059,2005,0
1059,2006,0
1059,2007,0
1059,2008,0
1059,2009,0
1059,2010,0
1059,2011,0
1059,2012,1
1059,2013,0
1059,2014,0
1059,2015,0
1059,2016,0
1059,2017,1
1059,2018,1
1059,2019,0
1059,2020,0
1059,2021,0
1061,2000,0
1061,2001,0
1061,2002,4
1061,2003,3
1061,2004,0
1061,2005,0
1061,2006,0
1061,2007,1
1061,2008,0
1061,2009,0
1061,2010,0
1061,2011,0
1061,2012,9
1061,2013,0
1061,2014,0
1061,2015,2
1061,2016,0
1061,2017,1
1061,2018,0
1061,2019,0
1061,2020,0
1061,2021,0
1063,2000,0
1063,2001,0
1063,2002,6
1063,2003,0
1063,2004,2
1063,2005,0
1063,2006,0
1063,2007,0
1063,2008,3
1063,2009,0
1063,2010,0
1063,2011,1
1063,2012,2
1063,2013,1
1063,2014,0
1063,2015,0
1063,2016,2
1063,2017,2
1063,2018,2
1063,2019,1
1063,2020,1
1063,2021,0
1065,2000,0
1065,2001,0
1065,2002,6
1065,2003,0
1065,2004,2
1065,2005,0
1065,2006,0
1065,2007,0
1065,2008,3
1065,2009,0
1065,2010,0
1065,2011,1
1065,2012,2
1065,2013,1
1065,2014,0
1065,2015,1
1065,2016,1
1065,2017,2
1065,2018,2
1065,2019,0
1065,2020,1
1065,2021,1
1067,2000,0
1067,2001,0
1067,2002,3
1067,2003,2
1067,2004,0
1067,2005,0
1067,2006,0
1067,2007,1
1067,2008,0
1067,2009,0
1067,2010,0
1067,2011,0
1067,2012,5
1067,2013,0
1067,2014,0
1067,2015,0
1067,2016,0
1067,2017,0
1067,2018,0
1067,2019,0
1067,2020,0
1067,2021,0
1069,2000,0
1069,2001,0
1069,2002,2
1069,2003,1
1069,2004,0
1069,2005,0
1069,2006,0
1069,2007,0
1069,2008,0
1069,2009,0
1069,2010,0
1069,2011,0
1069,2012,5
1069,2013,0
1069,2014,0
1069,2015,0
1069,2016,0
1069,2017,1
1069,2018,0
1069,2019,0
1069,2020,0
1069,2021,0
1071,2000,0
1071,2001,0
1071,2002,1
1071,2003,0
1071,2004,0
1071,2005,0
1071,2006,0
1071,2007,1
1071,2008,0
1071,2009,0
1071,2010,0
1071,2011,0
1071,2012,1
1071,2013,0
1071,2014,0
1071,2015,0
1071,2016,1
1071,2017,2
1071,2018,0
1071,2019,0
1071,2020,0
1071,2021,0
1073,2000,0
1073,2001,0
1073,2002,6
1073,2003,2
1073,2004,2
1073,2005,0
1073,2006,0
1073,2007,0
1073,2008,3
1073,2009,0
1073,2010,0
1073,2011,1
1073,2012,2
1073,2013,1
1073,2014,0
1073,2015,1
1073,2016,1
1073,2017,6
1073,2018,3
1073,2019,0
1073,2020,1
1073,2021,1
1075,2000,0
1075,2001,0
1075,2002,6
1075,2003,0
1075,2004,0
1075,2005,0
1075,2006,2
1075,2007,0
1075,2008,0
1075,2009,0
1075,2010,0
1075,2011,0
1075,2012,0
1075,2013,0
1075,2014,1
1075,2015,0
1075,2016,1
1075,2017,3
1075,2018,1
1075,2019,1
1075,2020,0
1075,2021,0
1077,2000,0
1077,2001,0
1077,2002,0
1077,2003,0
1077,2004,0
1077,2005,0
1077,2006,0
1077,2007,0
1077,2008,0
1077,2009,0
1077,2010,0
1077,2011,1
1077,2012,0
1077,2013,0
1077,2014,0
1077,2015,0
1077,2016,1
1077,2017,2
1077,2018,0
1077,2019,0
1077,2020,0
1077,2021,0
1079,2000,0
1079,2001,0
1079,2002,0
1079,2003,1
1079,2004,0
1079,2005,0
1079,2006,0
1079,2007,0
1079,2008,0
1079,2009,0
1079,2010,0
1079,2011,0
1079,2012,2
1079,2013,0
1079,2014,0
1079,2015,0
1079,2016,1
1079,2017,4
1079,2018,0
1079,2019,0
1079,2020,1
1079,2021,0
1081,2000,0
1081,2001,0
1081,2002,8
1081,2003,1
1081,2004,1
1081,2005,0
1081,2006,0
1081,2007,7
1081,2008,0
1081,2009,2
1081,2010,0
1081,2011,2
1081,2012,4
1081,2013,0
1081,2014,0
1081,2015,1
1081,2016,1
1081,2017,4
1081,2018,3
1081,2019,1
1081,2020,1
1081,2021,0
1083,2000,0
1083,2001,0
1083,2002,1
1083,2003,1
1083,2004,0
1083,2005,0
1083,2006,0
1083,2007,0
1083,2008,0
1083,2009,0
1083,2010,0
1083,2011,0
1083,2012,2
1083,2013,0
1083,2014,1
1083,2015,0
1083,2016,1
1083,2017,3
1083,2018,0
1083,2019,0
1083,2020,1
1083,2021,0
1085,2000,0
1085,2001,0
1085,2002,9
1085,2003,3
1085,2004,0
1085,2005,5
1085,2006,0
1085,2007,12
1085,2008,0
1085,2009,0
1085,2010,0
1085,2011,0
1085,2012,10
1085,2013,0
1085,2014,0
1085,2015,1
1085,2016,1
1085,2017,10
1085,2018,1
1085,2019,0
1085,2020,2
1085,2021,2
1087,2000,0
1087,2001,0
1087,2002,7
1087,2003,2
1087,2004,0
1087,2005,6
1087,2006,0
1087,2007,12
1087,2008,0
1087,2009,0
1087,2010,0
1087,2011,0
1087,2012,7
1087,2013,0
1087,2014,0
1087,2015,0
1087,2016,1
1087,2017,10
1087,2018,1
1087,2019,0
1087,2020,0
1087,2021,1
1089,2000,0
1089,2001,0
1089,2002,0
1089,2003,1
1089,2004,0
1089,2005,0
1089,2006,1
1089,2007,1
1089,2008,0
1089,2009,0
1089,2010,0
1089,2011,0
1089,2012,0
1089,2013,0
1089,2014,1
1089,2015,0
1089,2016,1
1089,2017,1
1089,2018,0
1089,2019,0
1089,2020,1
1089,2021,0
1091,2000,0
1091,2001,0
1091,2002,1
1091,2003,1
1091,2004,0
1091,2005,0
1091,2006,0
1091,2007,0
1091,2008,0
1091,2009,0
1091,2010,0
1091,2011,0
1091,2012,2
1091,2013,0
1091,2014,0
1091,2015,1
1091,2016,1
1091,2017,0
1091,2018,0
1091,2019,0
1091,2020,1
1091,2021,0
1093,2000,0
1093,2001,0
1093,2002,3
1093,2003,0
1093,2004,0
1093,2005,0
1093,2006,0
1093,2007,0
1093,2008,0
1093,2009,0
1093,2010,0
1093,2011,0
1093,2012,1
1093,2013,0
1093,2014,1
1093,2015,0
1093,2016,0
1093,2017,2
1093,2018,2
1093,2019,0
1093,2020,0
1093,2021,0
1095,2000,0
1095,2001,0
1095,2002,2
1095,2003,1
1095,2004,0
1095,2005,0
1095,2006,1
1095,2007,0
1095,2008,0
1095,2009,0
1095,2010,0
1095,2011,0
1095,2012,1
1095,2013,0
1095,2014,0
1095,2015,0
1095,2016,1
1095,2017,5
1095,2018,0
1095,2019,0
1095,2020,1
1095,2021,0
1097,2000,0
1097,2001,0
1097,2002,4
1097,2003,8
1097,2004,1
1097,2005,0
1097,2006,1
1097,2007,1
1097,2008,0
1097,2009,0
1097,2010,0
1097,2011,0
1097,2012,7
1097,2013,1
1097,2014,0
1097,2015,0
1097,2016,3
1097,2017,2
1097,2018,2
1097,2019,1
1097,2020,0
1097,2021,2
1099,2000,0
1099,2001,0
1099,2002,0
1099,2003,6
1099,2004,0
1099,2005,0
1099,2006,1
1099,2007,1
1099,2008,0
1099,2009,0
1099,2010,0
1099,2011,0
1099,2012,5
1099,2013,1
1099,2014,0
1099,2015,1
1099,2016,2
1099,2017,2
1099,2018,1
1099,2019,1
1099,2020,0
1099,2021,2
1101,2000,0
1101,2001,0
1101,2002,1
1101,2003,0
1101,2004,0
1101,2005,1
1101,2006,0
1101,2007,0
1101,2008,0
1101,2009,0
1101,2010,0
1101,2011,0
1101,2012,1
1101,2013,0
1101,2014,0
1101,2015,0
1101,2016,1
1101,2017,6
1101,2018,0
1101,2019,0
1101,2020,1
1101,2021,1
1103,2000,0
1103,2001,0
1103,2002,1
1103,2003,0
1103,2004,0
1103,2005,0
1103,2006,0
1103,2007,1
1103,2008,0
1103,2009,0
1103,2010,0
1103,2011,0
1103,2012,1
1103,2013,0
1103,2014,0
1103,2015,0
1103,2016,2
1103,2017,3
1103,2018,0
1103,2019,0
1103,2020,0
1103,2021,0
1105,2000,0
1105,2001,0
1105,2002,1
1105,2003,0
1105,2004,0
1105,2005,0
1105,2006,0
1105,2007,0
1105,2008,0
1105,2009,0
1105,2010,0
1105,2011,0
1105,2012,2
1105,2013,0
1105,2014,0
1105,2015,2
1105,2016,0
1105,2017,3
1105,2018,0
1105,2019,0
1105,2020,1
1105,2021,1
1107,2000,0
1107,2001,0
1107,2002,8
1107,2003,0
1107,2004,2
1107,2005,0
1107,2006,2
1107,2007,0
1107,2008,3
1107,2009,0
1107,2010,0
1107,2011,1
1107,2012,1
1107,2013,1
1107,2014,0
1107,2015,0
1107,2016,3
1107,2017,5
1107,2018,3
1107,2019,0
1107,2020,1
1107,2021,0
1109,2000,0
1109,2001,0
1109,2002,10
1109,2003,3
1109,2004,0
1109,2005,5
1109,2006,0
1109,2007,11
1109,2008,0
1109,2009,0
1109,2010,0
1109,2011,0
1109,2012,9
1109,2013,0
1109,2014,0
1109,2015,0
1109,2016,0
1109,2017,8
1109,2018,1
1109,2019,0
1109,2020,0
1109,2021,1
1111,2000,0
1111,2001,0
1111,2002,1
1111,2003,0
1111,2004,0
1111,2005,0
1111,2006,0
1111,2007,1
1111,2008,0
1111,2009,0
1111,2010,0
1111,2011,0
1111,2012,0
1111,2013,0
1111,2014,0
1111,2015,0
1111,2016,0
1111,2017,1
1111,2018,0
1111,2019,0
1111,2020,0
1111,2021,0
1113,2000,0
1113,2001,0
1113,2002,7
1113,2003,2
1113,2004,1
1113,2005,0
1113,2006,0
1113,2007,5
1113,2008,0
1113,2009,2
1113,2010,0
1113,2011,2
1113,2012,4
1113,2013,0
1113,2014,0
1113,2015,1
1113,2016,2
1113,2017,5
1113,2018,3
1113,2019,1
1113,2020,1
1113,2021,0
1115,2000,0
1115,2001,2
1115,2002,8
1115,2003,11
1115,2004,0
1115,2005,0
1115,2006,3
1115,2007,0
1115,2008,7
1115,2009,0
1115,2010,0
1115,2011,3
1115,2012,6
1115,2013,1
1115,2014,0
1115,2015,0
1115,2016,2
1115,2017,11
1115,2018,3
1115,2019,0
1115,2020,1
1115,2021,1
1117,2000,0
1117,2001,2
1117,2002,7
1117,2003,8
1117,2004,0
1117,2005,0
1117,2006,3
1117,2007,0
1117,2008,7
1117,2009,0
1117,2010,0
1117,2011,3
1117,2012,5
1117,2013,1
1117,2014,0
1117,2015,1
1117,2016,2
1117,2017,7
1117,2018,2
1117,2019,0
1117,2020,1
1117,2021,2
1119,2000,0
1119,2001,0
1119,2002,3
1119,2003,1
1119,2004,0
1119,2005,1
1119,2006,4
1119,2007,1
1119,2008,0
1119,2009,0
1119,2010,0
1119,2011,0
1119,2012,3
1119,2013,0
1119,2014,0
1119,2015,1
1119,2016,0
1119,2017,1
1119,2018,1
1119,2019,1
1119,2020,0
1119,2021,0
1121,2000,0
1121,2001,0
1121,2002,0
1121,2003,3
1121,2004,0
1121,2005,0
1121,2006,0
1121,2007,0
1121,2008,0
1121,2009,0
1121,2010,0
1121,2011,0
1121,2012,1
1121,2013,0
1121,2014,0
1121,2015,0
1121,2016,0
1121,2017,7
1121,2018,1
1121,2019,0
1121,2020,0
1121,2021,0
1123,2000,0
1123,2001,0
1123,2002,1
1123,2003,0
1123,2004,0
1123,2005,1
1123,2006,0
1123,2007,1
1123,2008,0
1123,2009,0
1123,2010,0
1123,2011,0
1123,2012,0
1123,2013,0
1123,2014,0
1123,2015,0
1123,2016,1
1123,2017,2
1123,2018,0
1123,2019,0
1123,2020,0
1123,2021,0
1125,2000,0
1125,2001,2
1125,2002,7
1125,2003,7
1125,2004,0
1125,2005,0
1125,2006,3
1125,2007,0
1125,2008,6
1125,2009,0
1125,2010,0
1125,2011,3
1125,2012,5
1125,2013,0
1125,2014,0
1125,2015,1
1125,2016,2
1125,2017,4
1125,2018,3
1125,2019,1
1125,2020,1
1125,2021,2
1127,2000,0
1127,2001,2
1127,2002,14
1127,2003,7
1127,2004,2
1127,2005,0
1127,2006,3
1127,2007,0
1127,2008,9
1127,2009,0
1127,2010,0
1127,2011,4
1127,2012,7
1127,2013,1
1127,2014,0
1127,2015,0
1127,2016,3
1127,2017,7
1127,2018,5
1127,2019,0
1127,2020,2
1127,2021,1
1129,2000,0
1129,2001,0
1129,2002,4
1129,2003,6
1129,2004,14
1129,2005,0
1129,2006,7
1129,2007,1
1129,2008,1
1129,2009,0
1129,2010,1
1129,2011,2
1129,2012,10
1129,2013,1
1129,2014,0
1129,2015,2
1129,2016,5
1129,2017,2
1129,2018,9
1129,2019,3
1129,2020,2
1129,2021,5
1131,2000,0
1131,2001,0
1131,2002,1
1131,2003,1
1131,2004,0
1131,2005,0
1131,2006,0
1131,2007,1
1131,2008,0
1131,2009,0
1131,2010,0
1131,2011,0
1131,2012,2
1131,2013,0
1131,2014,0
1131,2015,1
1131,2016,0
1131,2017,0
1131,2018,0
1131,2019,0
1131,2020,1
1131,2021,0
1133,2000,0
1133,2001,0
1133,2002,1
1133,2003,0
1133,2004,0
1133,2005,0
1133,2006,0
1133,2007,0
1133,2008,0
1133,2009,0
1133,2010,0
1133,2011,0
1133,2012,0
1133,2013,0
1133,2014,0
1133,2015,0
1133,2016,0
1133,2017,2
1133,2018,0
1133,2019,0
1133,2020,0
1133,2021,0
4001,2000,0
4001,2001,0
4001,2002,0
4001,2003,9
4001,2004,18
4001,2005,2
4001,2006,2
4001,2007,13
4001,2008,5
4001,2009,0
4001,2010,15
4001,2011,2
4001,2012,3
4001,2013,8
4001,2014,0
4001,2015,1
4001,2016,1
4001,2017,9
4001,2018,1
4001,2019,17
4001,2020,1
4001,2021,4
4003,2000,0
4003,2001,0
4003,2002,0
4003,2003,4
4003,2004,4
4003,2005,11
4003,2006,17
4003,2007,10
4003,2008,9
4003,2009,0
4003,2010,17
4003,2011,16
4003,2012,26
4003,2013,2
4003,2014,5
4003,2015,18
4003,2016,4
4003,2017,6
4003,2018,0
4003,2019,8
4003,2020,2
4003,2021,71
4005,2000,0
4005,2001,0
4005,2002,0
4005,2003,1
4005,2004,5
4005,2005,3
4005,2006,0
4005,2007,3
4005,2008,2
4005,2009,0
4005,2010,7
4005,2011,0
4005,2012,1
4005,2013,3
4005,2014,0
4005,2015,2
4005,2016,0
4005,2017,3
4005,2018,0
4005,2019,4
4005,2020,0
4005,2021,8
4007,2000,0
4007,2001,0
4007,2002,0
4007,2003,4
4007,2004,204
4007,2005,34
4007,2006,49
4007,2007,39
4007,2008,56
4007,2009,12
4007,2010,89
4007,2011,32
4007,2012,58
4007,2013,46
4007,2014,75
4007,2015,47
4007,2016,51
4007,2017,92
4007,2018,25
4007,2019,122
4007,2020,4
4007,2021,1067
4009,2000,0
4009,2001,0
4009,2002,0
4009,2003,3
4009,2004,13
4009,2005,15
4009,2006,26
4009,2007,13
4009,2008,8
4009,2009,0
4009,2010,30
4009,2011,18
4009,2012,30
4009,2013,6
4009,2014,9
4009,2015,24
4009,2016,8
4009,2017,15
4009,2018,2
4009,2019,16
4009,2020,2
4009,2021,158
4011,2000,0
4011,2001,0
4011,2002,0
4011,2003,2
4011,2004,6
4011,2005,2
4011,2006,2
4011,2007,1
4011,2008,5
4011,2009,0
4011,2010,9
4011,2011,1
4011,2012,0
4011,2013,0
4011,2014,1
4011,2015,1
4011,2016,0
4011,2017,1
4011,2018,0
4011,2019,1
4011,2020,0
4011,2021,2
4012,2000,0
4012,2001,0
4012,2002,0
4012,2003,4
4012,2004,303
4012,2005,108
4012,2006,47
4012,2007,54
4012,2008,117
4012,2009,17
4012,2010,72
4012,2011,41
4012,2012,88
4012,2013,79
4012,2014,99
4012,2015,179
4012,2016,66
4012,2017,149
4012,2018,42
4012,2019,134
4012,2020,14
4012,2021,990
4013,2000,0
4013,2001,0
4013,2002,0
4013,2003,3
4013,2004,10
4013,2005,15
4013,2006,24
4013,2007,13
4013,2008,8
4013,2009,0
4013,2010,27
4013,2011,17
4013,2012,32
4013,2013,6
4013,2014,9
4013,2015,24
4013,2016,10
4013,2017,15
4013,2018,2
4013,2019,12
4013,2020,4
4013,2021,159
4015,2000,0
4015,2001,0
4015,2002,0
4015,2003,0
4015,2004,80
4015,2005,19
4015,2006,4
4015,2007,3
4015,2008,31
4015,2009,9
4015,2010,6
4015,2011,14
4015,2012,26
4015,2013,23
4015,2014,19
4015,2015,51
4015,2016,10
4015,2017,48
4015,2018,8
4015,2019,46
4015,2020,3
4015,2021,5
4017,2000,0
4017,2001,0
4017,2002,0
4017,2003,3
4017,2004,5
4017,2005,1
4017,2006,1
4017,2007,3
4017,2008,7
4017,2009,0
4017,2010,16
4017,2011,1
4017,2012,0
4017,2013,1
4017,2014,0
4017,2015,3
4017,2016,0
4017,2017,3
4017,2018,0
4017,2019,2
4017,2020,0
4017,2021,4
4019,2000,0
4019,2001,0
4019,2002,0
4019,2003,4
4019,2004,203
4019,2005,36
4019,2006,50
4019,2007,39
4019,2008,56
4019,2009,12
4019,2010,87
4019,2011,32
4019,2012,58
4019,2013,44
4019,2014,75
4019,2015,44
4019,2016,53
4019,2017,92
4019,2018,25
4019,2019,119
4019,2020,5
4019,2021,1066
4021,2000,0
4021,2001,0
4021,2002,0
4021,2003,7
4021,2004,200
4021,2005,43
4021,2006,58
4021,2007,46
4021,2008,60
4021,2009,12
4021,2010,91
4021,2011,47
4021,2012,80
4021,2013,44
4021,2014,76
4021,2015,57
4021,2016,51
4021,2017,87
4021,2018,23
4021,2019,125
4021,2020,6
4021,2021,1054
4023,2000,0
4023,2001,0
4023,2002,0
4023,2003,2
4023,2004,3
4023,2005,12
4023,2006,19
4023,2007,9
