,fips,year,Total Amount,AVG_shifted
4,1009,2004,0.0,1.1666666666666667
5,1009,2005,0.0,0.0
6,1009,2006,0.5,0.0
7,1009,2007,0.16666666666666666,0.5
8,1009,2008,1.0,0.16666666666666666
9,1009,2009,0.0,1.0
10,1009,2010,0.0,0.0
11,1009,2011,0.5,0.0
12,1009,2012,0.8333333333333334,0.5
13,1009,2013,0.0,0.8333333333333334
14,1009,2014,0.0,0.0
15,1009,2015,0.0,0.0
16,1009,2016,0.3333333333333333,0.0
17,1009,2017,1.0,0.3333333333333333
18,1009,2018,0.3333333333333333,1.0
19,1009,2019,0.0,0.3333333333333333
20,1009,2020,0.16666666666666666,0.0
21,1009,2021,0.16666666666666666,0.16666666666666666
0,1011,2000,0.0,
1,1011,2001,0.0,0.0
2,1011,2002,1.4,0.0
3,1011,2003,0.6,1.4
4,1011,2004,0.0,0.6
5,1011,2005,1.0,0.0
6,1011,2006,0.0,1.0
7,1011,2007,2.4,0.0
8,1011,2008,0.0,2.4
9,1011,2009,0.0,0.0
10,1011,2010,0.0,0.0
11,1011,2011,0.0,0.0
12,1011,2012,1.4,0.0
13,1011,2013,0.0,1.4
14,1011,2014,0.0,0.0
15,1011,2015,0.0,0.0
16,1011,2016,0.0,0.0
17,1011,2017,1.4,0.0
18,1011,2018,0.2,1.4
19,1011,2019,0.0,0.2
20,1011,2020,0.0,0.0
21,1011,2021,0.2,0.0
0,1013,2000,0.0,
1,1013,2001,0.0,0.0
2,1013,2002,0.0,0.0
3,1013,2003,0.3333333333333333,0.0
4,1013,2004,0.0,0.3333333333333333
5,1013,2005,0.0,0.0
6,1013,2006,0.0,0.0
7,1013,2007,0.0,0.0
8,1013,2008,0.0,0.0
9,1013,2009,0.0,0.0
10,1013,2010,0.0,0.0
11,1013,2011,0.0,0.0
12,1013,2012,0.3333333333333333,0.0
13,1013,2013,0.0,0.3333333333333333
14,1013,2014,0.0,0.0
15,1013,2015,0.16666666666666666,0.0
16,1013,2016,0.0,0.16666666666666666
17,1013,2017,0.16666666666666666,0.0
18,1013,2018,0.0,0.16666666666666666
19,1013,2019,0.0,0.0
20,1013,2020,0.0,0.0
21,1013,2021,0.0,0.0
0,1015,2000,0.0,
1,1015,2001,0.0,0.0
2,1015,2002,0.2,0.0
3,1015,2003,0.2,0.2
4,1015,2004,0.0,0.2
5,1015,2005,0.0,0.0
6,1015,2006,0.0,0.0
7,1015,2007,0.0,0.0
8,1015,2008,0.2,0.0
9,1015,2009,0.0,0.2
10,1015,2010,0.0,0.0
11,1015,2011,0.0,0.0
12,1015,2012,0.0,0.0
13,1015,2013,0.2,0.0
14,1015,2014,0.0,0.2
15,1015,2015,0.0,0.0
16,1015,2016,0.0,0.0
17,1015,2017,0.4,0.0
18,1015,2018,0.0,0.4
19,1015,2019,0.0,0.0
20,1015,2020,0.0,0.0
21,1015,2021,0.0,0.0
0,1017,2000,0.0,
1,1017,2001,0.0,0.0
2,1017,2002,0.0,0.0
3,1017,2003,0.0,0.0
4,1017,2004,0.0,0.0
5,1017,2005,0.0,0.0
6,1017,2006,0.0,0.0
7,1017,2007,0.0,0.0
8,1017,2008,0.0,0.0
9,1017,2009,0.0,0.0
10,1017,2010,0.0,0.0
11,1017,2011,0.0,0.0
12,1017,2012,0.0,0.0
13,1017,2013,0.0,0.0
14,1017,2014,0.0,0.0
15,1017,2015,0.0,0.0
16,1017,2016,0.2,0.0
17,1017,2017,0.0,0.2
18,1017,2018,0.0,0.0
19,1017,2019,0.0,0.0
20,1017,2020,0.0,0.0
21,1017,2021,0.0,0.0
0,1019,2000,0.0,
1,1019,2001,0.0,0.0
2,1019,2002,0.14285714285714285,0.0
3,1019,2003,0.2857142857142857,0.14285714285714285
4,1019,2004,0.0,0.2857142857142857
5,1019,2005,0.0,0.0
6,1019,2006,0.0,0.0
7,1019,2007,0.0,0.0
8,1019,2008,0.2857142857142857,0.0
9,1019,2009,0.0,0.2857142857142857
10,1019,2010,0.0,0.0
11,1019,2011,0.0,0.0
12,1019,2012,0.0,0.0
13,1019,2013,0.0,0.0
14,1019,2014,0.0,0.0
15,1019,2015,0.0,0.0
16,1019,2016,0.0,0.0
17,1019,2017,0.8571428571428571,0.0
18,1019,2018,0.0,0.8571428571428571
19,1019,2019,0.0,0.0
20,1019,2020,0.14285714285714285,0.0
21,1019,2021,0.0,0.14285714285714285
0,1021,2000,0.0,
1,1021,2001,0.0,0.0
2,1021,2002,0.2857142857142857,0.0
3,1021,2003,0.2857142857142857,0.2857142857142857
4,1021,2004,0.0,0.2857142857142857
5,1021,2005,0.14285714285714285,0.0
6,1021,2006,0.0,0.14285714285714285
7,1021,2007,0.0,0.0
8,1021,2008,0.0,0.0
9,1021,2009,0.0,0.0
10,1021,2010,0.0,0.0
11,1021,2011,0.0,0.0
12,1021,2012,0.2857142857142857,0.0
13,1021,2013,0.0,0.2857142857142857
14,1021,2014,0.0,0.0
15,1021,2015,0.2857142857142857,0.0
16,1021,2016,0.14285714285714285,0.2857142857142857
17,1021,2017,1.2857142857142858,0.14285714285714285
18,1021,2018,0.14285714285714285,1.2857142857142858
19,1021,2019,0.0,0.14285714285714285
20,1021,2020,0.2857142857142857,0.0
21,1021,2021,0.2857142857142857,0.2857142857142857
0,1023,2000,0.0,
1,1023,2001,0.0,0.0
2,1023,2002,0.42857142857142855,0.0
3,1023,2003,0.14285714285714285,0.42857142857142855
4,1023,2004,0.0,0.14285714285714285
5,1023,2005,0.0,0.0
6,1023,2006,1.0,0.0
7,1023,2007,0.14285714285714285,1.0
8,1023,2008,0.0,0.14285714285714285
9,1023,2009,0.0,0.0
10,1023,2010,0.0,0.0
11,1023,2011,0.14285714285714285,0.0
12,1023,2012,0.8571428571428571,0.14285714285714285
13,1023,2013,0.0,0.8571428571428571
14,1023,2014,0.14285714285714285,0.0
15,1023,2015,0.14285714285714285,0.14285714285714285
16,1023,2016,0.14285714285714285,0.14285714285714285
17,1023,2017,0.14285714285714285,0.14285714285714285
18,1023,2018,0.14285714285714285,0.14285714285714285
19,1023,2019,0.0,0.14285714285714285
20,1023,2020,0.0,0.0
21,1023,2021,0.0,0.0
0,1025,2000,0.0,
1,1025,2001,0.0,0.0
2,1025,2002,0.0,0.0
3,1025,2003,1.0,0.0
4,1025,2004,0.0,1.0
5,1025,2005,0.0,0.0
6,1025,2006,0.16666666666666666,0.0
7,1025,2007,0.0,0.16666666666666666
8,1025,2008,0.0,0.0
9,1025,2009,0.0,0.0
10,1025,2010,0.0,0.0
11,1025,2011,0.0,0.0
12,1025,2012,1.0,0.0
13,1025,2013,0.16666666666666666,1.0
14,1025,2014,0.0,0.16666666666666666
15,1025,2015,0.0,0.0
16,1025,2016,0.3333333333333333,0.0
17,1025,2017,0.3333333333333333,0.3333333333333333
18,1025,2018,0.16666666666666666,0.3333333333333333
19,1025,2019,0.16666666666666666,0.16666666666666666
20,1025,2020,0.0,0.16666666666666666
21,1025,2021,0.3333333333333333,0.0
0,1027,2000,0.0,
1,1027,2001,0.0,0.0
2,1027,2002,0.0,0.0
3,1027,2003,0.2,0.0
4,1027,2004,0.0,0.2
5,1027,2005,0.0,0.0
6,1027,2006,0.0,0.0
7,1027,2007,0.0,0.0
8,1027,2008,0.2,0.0
9,1027,2009,0.0,0.2
10,1027,2010,0.0,0.0
11,1027,2011,0.0,0.0
12,1027,2012,0.0,0.0
13,1027,2013,0.2,0.0
14,1027,2014,0.0,0.2
15,1027,2015,0.0,0.0
16,1027,2016,0.0,0.0
17,1027,2017,0.2,0.0
18,1027,2018,0.0,0.2
19,1027,2019,0.0,0.0
20,1027,2020,0.0,0.0
21,1027,2021,0.0,0.0
0,1029,2000,0.0,
1,1029,2001,0.0,0.0
2,1029,2002,0.0,0.0
3,1029,2003,0.375,0.0
4,1029,2004,0.0,0.375
5,1029,2005,0.0,0.0
6,1029,2006,0.0,0.0
7,1029,2007,0.0,0.0
8,1029,2008,0.125,0.0
9,1029,2009,0.0,0.125
10,1029,2010,0.0,0.0
11,1029,2011,0.0,0.0
12,1029,2012,0.0,0.0
13,1029,2013,0.125,0.0
14,1029,2014,0.0,0.125
15,1029,2015,0.0,0.0
16,1029,2016,0.0,0.0
17,1029,2017,0.375,0.0
18,1029,2018,0.0,0.375
19,1029,2019,0.0,0.0
20,1029,2020,0.0,0.0
21,1029,2021,0.0,0.0
0,1031,2000,0.0,
1,1031,2001,0.0,0.0
2,1031,2002,0.4,0.0
3,1031,2003,0.0,0.4
4,1031,2004,0.0,0.0
5,1031,2005,0.0,0.0
6,1031,2006,0.0,0.0
7,1031,2007,0.0,0.0
8,1031,2008,0.0,0.0
9,1031,2009,0.0,0.0
10,1031,2010,0.0,0.0
11,1031,2011,0.0,0.0
12,1031,2012,0.8,0.0
13,1031,2013,0.0,0.8
14,1031,2014,0.0,0.0
15,1031,2015,0.0,0.0
16,1031,2016,0.0,0.0
17,1031,2017,0.2,0.0
18,1031,2018,0.0,0.2
19,1031,2019,0.0,0.0
20,1031,2020,0.0,0.0
21,1031,2021,0.0,0.0
0,1033,2000,0.0,
1,1033,2001,0.0,0.0
2,1033,2002,0.0,0.0
3,1033,2003,0.0,0.0
4,1033,2004,0.0,0.0
5,1033,2005,0.0,0.0
6,1033,2006,0.0,0.0
7,1033,2007,0.0,0.0
8,1033,2008,0.0,0.0
9,1033,2009,0.0,0.0
10,1033,2010,0.0,0.0
11,1033,2011,0.0,0.0
12,1033,2012,0.25,0.0
13,1033,2013,0.0,0.25
14,1033,2014,0.0,0.0
15,1033,2015,0.0,0.0
16,1033,2016,0.0,0.0
17,1033,2017,0.25,0.0
18,1033,2018,0.0,0.25
19,1033,2019,0.0,0.0
20,1033,2020,0.0,0.0
21,1033,2021,0.0,0.0
0,1035,2000,0.0,
1,1035,2001,0.0,0.0
2,1035,2002,0.0,0.0
3,1035,2003,0.5,0.0
4,1035,2004,0.0,0.5
5,1035,2005,0.0,0.0
6,1035,2006,0.0,0.0
7,1035,2007,0.25,0.0
8,1035,2008,0.0,0.25
9,1035,2009,0.0,0.0
10,1035,2010,0.0,0.0
11,1035,2011,0.0,0.0
12,1035,2012,0.0,0.0
13,1035,2013,0.0,0.0
14,1035,2014,0.0,0.0
15,1035,2015,0.0,0.0
16,1035,2016,0.0,0.0
17,1035,2017,0.25,0.0
18,1035,2018,0.0,0.25
19,1035,2019,0.0,0.0
20,1035,2020,0.0,0.0
21,1035,2021,0.0,0.0
0,1037,2000,0.0,
1,1037,2001,0.0,0.0
2,1037,2002,0.0,0.0
3,1037,2003,0.5,0.0
4,1037,2004,0.0,0.5
5,1037,2005,0.16666666666666666,0.0
6,1037,2006,0.0,0.16666666666666666
7,1037,2007,0.0,0.0
8,1037,2008,0.16666666666666666,0.0
9,1037,2009,0.0,0.16666666666666666
10,1037,2010,0.0,0.0
11,1037,2011,0.0,0.0
12,1037,2012,0.16666666666666666,0.0
13,1037,2013,0.16666666666666666,0.16666666666666666
14,1037,2014,0.0,0.16666666666666666
15,1037,2015,0.0,0.0
16,1037,2016,0.0,0.0
17,1037,2017,1.5,0.0
18,1037,2018,0.16666666666666666,1.5
19,1037,2019,0.0,0.16666666666666666
20,1037,2020,0.0,0.0
21,1037,2021,0.0,0.0
0,1039,2000,0.0,
1,1039,2001,0.0,0.0
2,1039,2002,0.125,0.0
3,1039,2003,0.75,0.125
4,1039,2004,0.0,0.75
5,1039,2005,0.0,0.0
6,1039,2006,0.0,0.0
7,1039,2007,0.125,0.0
8,1039,2008,0.0,0.125
9,1039,2009,0.0,0.0
10,1039,2010,0.0,0.0
11,1039,2011,0.0,0.0
12,1039,2012,1.125,0.0
13,1039,2013,0.0,1.125
14,1039,2014,0.0,0.0
15,1039,2015,0.375,0.0
16,1039,2016,0.125,0.375
17,1039,2017,0.0,0.125
18,1039,2018,0.0,0.0
19,1039,2019,0.0,0.0
20,1039,2020,0.0,0.0
21,1039,2021,0.0,0.0
0,1041,2000,0.0,
1,1041,2001,0.0,0.0
2,1041,2002,1.3333333333333333,0.0
3,1041,2003,0.3333333333333333,1.3333333333333333
4,1041,2004,0.0,0.3333333333333333
5,1041,2005,0.8333333333333334,0.0
6,1041,2006,0.0,0.8333333333333334
7,1041,2007,2.0,0.0
8,1041,2008,0.0,2.0
9,1041,2009,0.0,0.0
10,1041,2010,0.0,0.0
11,1041,2011,0.0,0.0
12,1041,2012,1.3333333333333333,0.0
13,1041,2013,0.0,1.3333333333333333
14,1041,2014,0.0,0.0
15,1041,2015,0.0,0.0
16,1041,2016,0.0,0.0
17,1041,2017,1.3333333333333333,0.0
18,1041,2018,0.16666666666666666,1.3333333333333333
19,1041,2019,0.0,0.16666666666666666
20,1041,2020,0.0,0.0
21,1041,2021,0.16666666666666666,0.0
0,1043,2000,0.0,
1,1043,2001,0.0,0.0
2,1043,2002,0.0,0.0
3,1043,2003,0.16666666666666666,0.0
4,1043,2004,0.0,0.16666666666666666
5,1043,2005,0.0,0.0
6,1043,2006,0.0,0.0
7,1043,2007,0.16666666666666666,0.0
8,1043,2008,0.0,0.16666666666666666
9,1043,2009,0.0,0.0
10,1043,2010,0.0,0.0
11,1043,2011,0.0,0.0
12,1043,2012,0.16666666666666666,0.0
13,1043,2013,0.0,0.16666666666666666
14,1043,2014,0.0,0.0
15,1043,2015,0.0,0.0
16,1043,2016,0.0,0.0
17,1043,2017,0.16666666666666666,0.0
18,1043,2018,0.0,0.16666666666666666
19,1043,2019,0.0,0.0
20,1043,2020,0.16666666666666666,0.0
21,1043,2021,0.0,0.16666666666666666
0,1045,2000,0.0,
1,1045,2001,0.0,0.0
2,1045,2002,0.3333333333333333,0.0
3,1045,2003,0.3333333333333333,0.3333333333333333
4,1045,2004,0.0,0.3333333333333333
5,1045,2005,0.0,0.0
6,1045,2006,0.0,0.0
7,1045,2007,0.16666666666666666,0.0
8,1045,2008,0.0,0.16666666666666666
9,1045,2009,0.0,0.0
10,1045,2010,0.0,0.0
11,1045,2011,0.0,0.0
12,1045,2012,1.3333333333333333,0.0
13,1045,2013,0.0,1.3333333333333333
14,1045,2014,0.0,0.0
15,1045,2015,0.0,0.0
16,1045,2016,0.0,0.0
17,1045,2017,0.16666666666666666,0.0
18,1045,2018,0.0,0.16666666666666666
19,1045,2019,0.0,0.0
20,1045,2020,0.0,0.0
21,1045,2021,0.0,0.0
0,1047,2000,0.0,
1,1047,2001,0.0,0.0
2,1047,2002,0.16666666666666666,0.0
3,1047,2003,0.16666666666666666,0.16666666666666666
4,1047,2004,0.0,0.16666666666666666
5,1047,2005,0.0,0.0
6,1047,2006,0.0,0.0
7,1047,2007,0.0,0.0
8,1047,2008,0.0,0.0
9,1047,2009,0.0,0.0
10,1047,2010,0.0,0.0
11,1047,2011,0.0,0.0
12,1047,2012,0.3333333333333333,0.0
13,1047,2013,0.0,0.3333333333333333
14,1047,2014,0.0,0.0
15,1047,2015,0.0,0.0
16,1047,2016,0.16666666666666666,0.0
17,1047,2017,1.0,0.16666666666666666
18,1047,2018,0.0,1.0
19,1047,2019,0.0,0.0
20,1047,2020,0.16666666666666666,0.0
21,1047,2021,0.16666666666666666,0.16666666666666666
0,1049,2000,0.0,
1,1049,2001,0.0,0.0
2,1049,2002,0.14285714285714285,0.0
3,1049,2003,0.14285714285714285,0.14285714285714285
4,1049,2004,0.0,0.14285714285714285
5,1049,2005,0.0,0.0
6,1049,2006,0.14285714285714285,0.0
7,1049,2007,0.14285714285714285,0.14285714285714285
8,1049,2008,0.0,0.14285714285714285
9,1049,2009,0.0,0.0
10,1049,2010,0.0,0.0
11,1049,2011,0.0,0.0
12,1049,2012,0.0,0.0
13,1049,2013,0.0,0.0
14,1049,2014,0.0,0.0
15,1049,2015,0.0,0.0
16,1049,2016,0.0,0.0
17,1049,2017,0.14285714285714285,0.0
18,1049,2018,0.0,0.14285714285714285
19,1049,2019,0.0,0.0
20,1049,2020,0.0,0.0
21,1049,2021,0.0,0.0
0,1051,2000,0.0,
1,1051,2001,0.0,0.0
2,1051,2002,1.3333333333333333,0.0
3,1051,2003,0.3333333333333333,1.3333333333333333
4,1051,2004,0.0,0.3333333333333333
5,1051,2005,0.8333333333333334,0.0
6,1051,2006,0.0,0.8333333333333334
7,1051,2007,1.8333333333333333,0.0
8,1051,2008,0.0,1.8333333333333333
9,1051,2009,0.0,0.0
10,1051,2010,0.0,0.0
11,1051,2011,0.0,0.0
12,1051,2012,1.1666666666666667,0.0
13,1051,2013,0.0,1.1666666666666667
14,1051,2014,0.0,0.0
15,1051,2015,0.0,0.0
16,1051,2016,0.16666666666666666,0.0
17,1051,2017,2.1666666666666665,0.16666666666666666
18,1051,2018,0.16666666666666666,2.1666666666666665
19,1051,2019,0.0,0.16666666666666666
20,1051,2020,0.16666666666666666,0.0
21,1051,2021,0.3333333333333333,0.16666666666666666
0,1053,2000,0.0,
1,1053,2001,0.0,0.0
2,1053,2002,1.1428571428571428,0.0
3,1053,2003,3.0,1.1428571428571428
4,1053,2004,0.0,3.0
5,1053,2005,0.0,0.0
6,1053,2006,0.42857142857142855,0.0
7,1053,2007,0.0,0.42857142857142855
8,1053,2008,0.2857142857142857,0.0
9,1053,2009,0.0,0.2857142857142857
10,1053,2010,0.0,0.0
11,1053,2011,0.0,0.0
12,1053,2012,3.4285714285714284,0.0
13,1053,2013,0.14285714285714285,3.4285714285714284
14,1053,2014,0.2857142857142857,0.14285714285714285
15,1053,2015,0.7142857142857143,0.2857142857142857
16,1053,2016,0.7142857142857143,0.7142857142857143
17,1053,2017,0.7142857142857143,0.7142857142857143
18,1053,2018,0.2857142857142857,0.7142857142857143
19,1053,2019,0.14285714285714285,0.2857142857142857
20,1053,2020,0.0,0.14285714285714285
21,1053,2021,0.2857142857142857,0.0
0,1055,2000,0.0,
1,1055,2001,0.0,0.0
2,1055,2002,0.0,0.0
3,1055,2003,0.16666666666666666,0.0
4,1055,2004,0.0,0.16666666666666666
5,1055,2005,0.0,0.0
6,1055,2006,0.0,0.0
7,1055,2007,0.16666666666666666,0.0
8,1055,2008,0.0,0.16666666666666666
9,1055,2009,0.0,0.0
10,1055,2010,0.0,0.0
11,1055,2011,0.0,0.0
12,1055,2012,0.0,0.0
13,1055,2013,0.0,0.0
14,1055,2014,0.0,0.0
15,1055,2015,0.0,0.0
16,1055,2016,0.0,0.0
17,1055,2017,0.3333333333333333,0.0
18,1055,2018,0.0,0.3333333333333333
19,1055,2019,0.0,0.0
20,1055,2020,0.0,0.0
21,1055,2021,0.0,0.0
0,1057,2000,0.0,
1,1057,2001,0.0,0.0
2,1057,2002,1.4,0.0
3,1057,2003,0.0,1.4
4,1057,2004,0.4,0.0
5,1057,2005,0.0,0.4
6,1057,2006,0.0,0.0
7,1057,2007,0.0,0.0
8,1057,2008,0.6,0.0
9,1057,2009,0.0,0.6
10,1057,2010,0.0,0.0
11,1057,2011,0.2,0.0
12,1057,2012,0.2,0.2
13,1057,2013,0.2,0.2
14,1057,2014,0.0,0.2
15,1057,2015,0.0,0.0
16,1057,2016,0.2,0.0
17,1057,2017,0.4,0.2
18,1057,2018,0.4,0.4
19,1057,2019,0.2,0.4
20,1057,2020,0.2,0.2
21,1057,2021,0.0,0.2
0,1059,2000,0.0,
1,1059,2001,0.0,0.0
2,1059,2002,0.16666666666666666,0.0
3,1059,2003,0.0,0.16666666666666666
4,1059,2004,0.0,0.0
5,1059,2005,0.0,0.0
6,1059,2006,0.0,0.0
7,1059,2007,0.0,0.0
8,1059,2008,0.0,0.0
9,1059,2009,0.0,0.0
10,1059,2010,0.0,0.0
11,1059,2011,0.0,0.0
12,1059,2012,0.16666666666666666,0.0
13,1059,2013,0.0,0.16666666666666666
14,1059,2014,0.0,0.0
15,1059,2015,0.0,0.0
16,1059,2016,0.0,0.0
17,1059,2017,0.16666666666666666,0.0
18,1059,2018,0.16666666666666666,0.16666666666666666
19,1059,2019,0.0,0.16666666666666666
20,1059,2020,0.0,0.0
21,1059,2021,0.0,0.0
0,1061,2000,0.0,
1,1061,2001,0.0,0.0
2,1061,2002,0.5714285714285714,0.0
3,1061,2003,0.42857142857142855,0.5714285714285714
4,1061,2004,0.0,0.42857142857142855
5,1061,2005,0.0,0.0
6,1061,2006,0.0,0.0
7,1061,2007,0.14285714285714285,0.0
8,1061,2008,0.0,0.14285714285714285
9,1061,2009,0.0,0.0
10,1061,2010,0.0,0.0
11,1061,2011,0.0,0.0
12,1061,2012,1.2857142857142858,0.0
13,1061,2013,0.0,1.2857142857142858
14,1061,2014,0.0,0.0
15,1061,2015,0.2857142857142857,0.0
16,1061,2016,0.0,0.2857142857142857
17,1061,2017,0.14285714285714285,0.0
18,1061,2018,0.0,0.14285714285714285
19,1061,2019,0.0,0.0
20,1061,2020,0.0,0.0
21,1061,2021,0.0,0.0
0,1063,2000,0.0,
1,1063,2001,0.0,0.0
2,1063,2002,1.2,0.0
3,1063,2003,0.0,1.2
4,1063,2004,0.4,0.0
5,1063,2005,0.0,0.4
6,1063,2006,0.0,0.0
7,1063,2007,0.0,0.0
8,1063,2008,0.6,0.0
9,1063,2009,0.0,0.6
10,1063,2010,0.0,0.0
11,1063,2011,0.2,0.0
12,1063,2012,0.4,0.2
13,1063,2013,0.2,0.4
14,1063,2014,0.0,0.2
15,1063,2015,0.0,0.0
16,1063,2016,0.4,0.0
17,1063,2017,0.4,0.4
18,1063,2018,0.4,0.4
19,1063,2019,0.2,0.4
20,1063,2020,0.2,0.2
21,1063,2021,0.0,0.2
0,1065,2000,0.0,
1,1065,2001,0.0,0.0
2,1065,2002,1.2,0.0
3,1065,2003,0.0,1.2
4,1065,2004,0.4,0.0
5,1065,2005,0.0,0.4
6,1065,2006,0.0,0.0
7,1065,2007,0.0,0.0
8,1065,2008,0.6,0.0
9,1065,2009,0.0,0.6
10,1065,2010,0.0,0.0
11,1065,2011,0.2,0.0
12,1065,2012,0.4,0.2
13,1065,2013,0.2,0.4
14,1065,2014,0.0,0.2
15,1065,2015,0.2,0.0
16,1065,2016,0.2,0.2
17,1065,2017,0.4,0.2
18,1065,2018,0.4,0.4
19,1065,2019,0.0,0.4
20,1065,2020,0.2,0.0
21,1065,2021,0.2,0.2
0,1067,2000,0.0,
1,1067,2001,0.0,0.0
2,1067,2002,0.6,0.0
3,1067,2003,0.4,0.6
4,1067,2004,0.0,0.4
5,1067,2005,0.0,0.0
6,1067,2006,0.0,0.0
7,1067,2007,0.2,0.0
8,1067,2008,0.0,0.2
9,1067,2009,0.0,0.0
10,1067,2010,0.0,0.0
11,1067,2011,0.0,0.0
12,1067,2012,1.0,0.0
13,1067,2013,0.0,1.0
14,1067,2014,0.0,0.0
15,1067,2015,0.0,0.0
16,1067,2016,0.0,0.0
17,1067,2017,0.0,0.0
18,1067,2018,0.0,0.0
19,1067,2019,0.0,0.0
20,1067,2020,0.0,0.0
21,1067,2021,0.0,0.0
0,1069,2000,0.0,
1,1069,2001,0.0,0.0
2,1069,2002,0.3333333333333333,0.0
3,1069,2003,0.16666666666666666,0.3333333333333333
4,1069,2004,0.0,0.16666666666666666
5,1069,2005,0.0,0.0
6,1069,2006,0.0,0.0
7,1069,2007,0.0,0.0
8,1069,2008,0.0,0.0
9,1069,2009,0.0,0.0
10,1069,2010,0.0,0.0
11,1069,2011,0.0,0.0
12,1069,2012,0.8333333333333334,0.0
13,1069,2013,0.0,0.8333333333333334
14,1069,2014,0.0,0.0
15,1069,2015,0.0,0.0
16,1069,2016,0.0,0.0
17,1069,2017,0.16666666666666666,0.0
18,1069,2018,0.0,0.16666666666666666
19,1069,2019,0.0,0.0
20,1069,2020,0.0,0.0
21,1069,2021,0.0,0.0
0,1071,2000,0.0,
1,1071,2001,0.0,0.0
2,1071,2002,0.16666666666666666,0.0
3,1071,2003,0.0,0.16666666666666666
4,1071,2004,0.0,0.0
5,1071,2005,0.0,0.0
6,1071,2006,0.0,0.0
7,1071,2007,0.16666666666666666,0.0
8,1071,2008,0.0,0.16666666666666666
9,1071,2009,0.0,0.0
10,1071,2010,0.0,0.0
11,1071,2011,0.0,0.0
12,1071,2012,0.16666666666666666,0.0
13,1071,2013,0.0,0.16666666666666666
14,1071,2014,0.0,0.0
15,1071,2015,0.0,0.0
16,1071,2016,0.16666666666666666,0.0
17,1071,2017,0.3333333333333333,0.16666666666666666
18,1071,2018,0.0,0.3333333333333333
19,1071,2019,0.0,0.0
20,1071,2020,0.0,0.0
21,1071,2021,0.0,0.0
